rehearse	リハーサルをする、暗唱（復唱）する
inventory	在庫、棚卸し
dismantle	"（機械などを）分解する、取り除く<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+house"">The house</a>&nbsp;had been&nbsp;<a href=""https://ejje.weblio.jp/content/dismantled"">dismantled</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;its roof.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">その<a href=""https://ejje.weblio.jp/content/%E5%AE%B6"">家</a>は<a href=""https://ejje.weblio.jp/content/%E5%B1%8B%E6%A0%B9"">屋根</a>がはぎ<a href=""https://ejje.weblio.jp/content/%E5%8F%96%E3%82%89%E3%82%8C"">取られ</a>ていた.</span><br></div>"
scavenger	（ハゲタカなどの）腐肉を食べる動物、清掃動物、清掃人<div>scavengeで（ゴミ箱などを）あさる、清掃する</div>
kindle	"点火する、（情熱などを）燃やす、kindle A to doでたきつけてAに〜させる<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">kindle&nbsp;<a href=""https://ejje.weblio.jp/content/twigs"">twigs</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/a+fire"">a fire</a>] with a&nbsp;<a href=""https://ejje.weblio.jp/content/match"">match</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%9E%E3%83%83%E3%83%81"">マッチ</a>で<a href=""https://ejje.weblio.jp/content/%E5%B0%8F%E6%9E%9D"">小枝</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E7%81%AB%E3%82%92%E3%81%A4%E3%81%91%E3%82%8B"">に火をつける</a>[<a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%81%8D%E7%81%AB"">たき火</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E3%81%99%E3%82%8B"">をする</a>].</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/lecturer"">lecturer</a>&nbsp;<a href=""https://ejje.weblio.jp/content/kindled"">kindled</a>&nbsp;<a href=""https://ejje.weblio.jp/content/my"">my</a>&nbsp;interest.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%AC%9B%E5%B8%AB"">講師</a>は<a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%AE"">私の</a><a href=""https://ejje.weblio.jp/content/%E8%88%88%E5%91%B3"">興味</a>をあ<a href=""https://ejje.weblio.jp/content/%E3%81%8A%E3%81%A3%E3%81%9F"">おった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">Her&nbsp;<a href=""https://ejje.weblio.jp/content/stirring"">stirring</a>&nbsp;<a href=""https://ejje.weblio.jp/content/words"">words</a>&nbsp;<a href=""https://ejje.weblio.jp/content/kindled"">kindled</a>&nbsp;<a href=""https://ejje.weblio.jp/content/us+to"">us to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/fight"">fight</a>&nbsp;back.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AE"">彼女の</a><a href=""https://ejje.weblio.jp/content/%E7%86%B1%E7%83%88%E3%81%AA"">熱烈な</a><a href=""https://ejje.weblio.jp/content/%E8%A8%80%E8%91%89"">言葉</a>に<a href=""https://ejje.weblio.jp/content/%E9%BC%93%E8%88%9E"">鼓舞</a>され<a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85"">我々</a>は<a href=""https://ejje.weblio.jp/content/%E5%8F%8D%E6%92%83"">反撃</a>に<a href=""https://ejje.weblio.jp/content/%E5%87%BA%E3%81%9F"">出た</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
uprising	反乱、暴動
reactor	化学反応器、原子炉、反応炉
relic	"遺産、遺品<div><img src=""paste-fdf15e9724192c6ffe594bea6a33ed7fdb91da62.jpg""><br></div>"
tundra	ツンドラ
illuminate	"照らす、イルミネーションを施す<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+sky"">The sky</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/illuminated"">illuminated</a>&nbsp;with searchlights.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A4%9C%E7%A9%BA"">夜空</a>は<a href=""https://ejje.weblio.jp/content/%E3%82%B5%E3%83%BC%E3%83%81%E3%83%A9%E3%82%A4%E3%83%88"">サーチライト</a>で<a href=""https://ejje.weblio.jp/content/%E7%85%A7"">照</a>らされて(<a href=""https://ejje.weblio.jp/content/%E6%98%8E%E3%82%8B%E3%81%8F"">明るく</a>なって)いた.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+streets"">The streets</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/illuminated"">illuminated</a>&nbsp;with&nbsp;<a href=""https://ejje.weblio.jp/content/Chinese+lanterns"">Chinese lanterns</a>&nbsp;<a href=""https://ejje.weblio.jp/content/for+the"">for the</a>&nbsp;festival.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%80%9A%E3%82%8A"">通り</a>は<a href=""https://ejje.weblio.jp/content/%E3%81%8A%E7%A5%AD%E3%82%8A"">お祭り</a><a href=""https://ejje.weblio.jp/content/%E3%81%AE%E3%81%A1%E3%82%87%E3%81%86"">のちょう</a>ちんで<a href=""https://ejje.weblio.jp/content/%E9%A3%BE%E3%82%89%E3%82%8C%E3%81%A6"">飾られて</a>いた.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
pragmatic	"実践的な<div>practicalとほぼ同義だが、宗教関連はpragmaticを用いる</div><div>pragmatistで実用主義者</div><div><div><a href=""https://ejje.weblio.jp/content/I+agree"">I agree</a>&nbsp;<a href=""https://ejje.weblio.jp/content/on+an+emotional+level"">on an emotional level</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/but+on"">but on</a>&nbsp;the&nbsp;<b>pragmatic</b>&nbsp;<a href=""https://ejje.weblio.jp/content/level"">level</a>&nbsp;<a href=""https://ejje.weblio.jp/content/I+disagree."">I disagree.</a>&nbsp;心情的には賛成、けれど現実的に反対します。</div></div>"
dogmatic	"教義上の、独断的な<div><div><a href=""https://ejje.weblio.jp/content/You+are"">You are</a>&nbsp;<b>dogmatic</b>―a dogmatist. 君は独りぎめだ</div></div>"
bottom line	結論<div>The bottom line is ...</div><div>As a bottom line,&nbsp;</div>
devout	"信心深い、心からの<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;devout&nbsp;<a href=""https://ejje.weblio.jp/content/Roman+Catholic"">Roman Catholic</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%95%AC%E8%99%94"">敬虔</a>(<sub>け</sub><sub>いけ</sub><sub>ん</sub>)な<a href=""https://ejje.weblio.jp/content/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%95%99%E5%BE%92"">カトリック教徒</a>.</span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/one%27s"">one's</a>&nbsp;devout&nbsp;<a href=""https://ejje.weblio.jp/content/hope"">hope</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BF%83%E3%81%8B%E3%82%89%E3%81%AE%E5%B8%8C%E6%9C%9B"">心からの希望</a>.</span><br></div></div>"
deference	"服従、敬意<div><table><tbody><tr><td><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/blind""><br>blind</a>&nbsp;deference</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E7%9B%B2%E5%BE%93"">盲従</a>.</div></div><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/pay"">pay</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/show"">show</a>]&nbsp;deference&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/toward"">toward</a>] a&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%81%AB%E6%95%AC%E6%84%8F%E3%82%92%E6%89%95%E3%81%86"">人に敬意を払う</a>.</div></div></td></tr></tbody></table></div>"
pupa	さなぎ<div>複数形はpupae</div>
disclose	"暴露する、明らかにする、あらわにする<div><div>disclosureで暴露</div><div>undiscolsedで公表されていない、解明されていない<br><div><table><tbody><tr><td><div><div><span style=""font-weight: bold;""><a href=""https://ejje.weblio.jp/content/Opening"">Opening</a>&nbsp;her&nbsp;<a href=""https://ejje.weblio.jp/content/palm"">palm</a>, she&nbsp;<a href=""https://ejje.weblio.jp/content/disclosed"">disclosed</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/gold"">gold</a>&nbsp;coin.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E6%89%8B%E3%81%AE%E3%81%B2%E3%82%89"">手のひら</a>を<a href=""https://ejje.weblio.jp/content/%E9%96%8B"">開</a>いて<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E5%A5%B3%E3%81%AF"">彼女は</a>&nbsp;<a href=""https://ejje.weblio.jp/content/1+%E6%9E%9A"">1 枚</a>の<a href=""https://ejje.weblio.jp/content/%E9%87%91%E8%B2%A8"">金貨</a>を<a href=""https://ejje.weblio.jp/content/%E8%A6%8B%E3%81%9B%E3%81%9F"">見せた</a>.</div></div></td></tr></tbody></table><div><div><div><span style=""font-weight: bold;"">disclose&nbsp;<a href=""https://ejje.weblio.jp/content/a+secret"">a secret</a></span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E7%A7%98%E5%AF%86%E3%82%92%E3%81%99%E3%81%A3%E3%81%B1%E6%8A%9C%E3%81%8F"">秘密をすっぱ抜く</a>.</div></div><div><div><span style=""font-weight: bold;"">A&nbsp;<a href=""https://ejje.weblio.jp/content/review+of"">review of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/the+facts"">the facts</a>&nbsp;<a href=""https://ejje.weblio.jp/content/disclosed"">disclosed</a>&nbsp;his error.</span>&nbsp;<a href=""https://ejje.weblio.jp/content/%E4%BA%8B%E5%AE%9F"">事実</a>の<a href=""https://ejje.weblio.jp/content/%E5%86%8D%E8%AA%BF%E6%9F%BB"">再調査</a>から<a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E8%AA%A4%E3%82%8A"">誤り</a>が<a href=""https://ejje.weblio.jp/content/%E9%9C%B2%E5%91%88"">露呈</a>した.</div></div></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/disclosed"">disclosed</a>&nbsp;his&nbsp;<a href=""https://ejje.weblio.jp/content/intentions"">intentions</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;us.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85%E3%81%AB"">我々に</a><a href=""https://ejje.weblio.jp/content/%E8%87%AA%E5%88%86%E3%81%AE"">自分の</a><a href=""https://ejje.weblio.jp/content/%E6%84%8F%E5%9B%B3"">意図</a>を<a href=""https://ejje.weblio.jp/content/%E6%98%8E%E3%82%89%E3%81%8B%E3%81%AB%E3%81%97%E3%81%9F"">明らかにした</a>.</span><br></div></div></div></div>"
displace	"取って代わる、立ち退かせる<div>通常あるものが動かされるイメージ</div><div>displacementで置換、立ち退き、解雇、排水量、排気量、<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+word"">The word</a>&nbsp;<a href=""https://ejje.weblio.jp/content/processor"">processor</a>&nbsp;<a href=""https://ejje.weblio.jp/content/displaced"">displaced</a>&nbsp;the typewriter.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%AF%E3%83%BC%E3%83%97%E3%83%AD"">ワープロ</a>が<a href=""https://ejje.weblio.jp/content/%E3%82%BF%E3%82%A4%E3%83%97%E3%83%A9%E3%82%A4%E3%82%BF%E3%83%BC"">タイプライター</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E5%8F%96%E3%81%A3%E3%81%A6"">に取って</a><a href=""https://ejje.weblio.jp/content/%E4%BB%A3"">代</a>わった.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/villagers"">villagers</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/displaced"">displaced</a>&nbsp;for [<a href=""https://ejje.weblio.jp/content/by"">by</a>] the&nbsp;<a href=""https://ejje.weblio.jp/content/construction+of"">construction of</a>&nbsp;a dam.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%80%E3%83%A0%E5%BB%BA%E8%A8%AD"">ダム建設</a><a href=""https://ejje.weblio.jp/content/%E3%81%AE%E3%81%9F%E3%82%81"">のため</a>[<a href=""https://ejje.weblio.jp/content/%E3%81%AB%E3%82%88%E3%81%A3%E3%81%A6"">によって</a>]<a href=""https://ejje.weblio.jp/content/%E6%9D%91%E6%B0%91"">村民</a><a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%81%A1%E3%81%AF"">たちは</a><a href=""https://ejje.weblio.jp/content/%E7%AB%8B%E3%81%A1"">立ち</a>退か<a href=""https://ejje.weblio.jp/content/%E3%81%95%E3%82%8C%E3%81%9F"">された</a>.</span><br></div></div><div><img src=""paste-214a01774af8f9aeaa97985df44a212e6baae488.jpg""><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
ominous	"不穏な、不吉な、陰謀な<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;ominous&nbsp;<a href=""https://ejje.weblio.jp/content/silence"">silence</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%B8%8D%E6%B0%97%E5%91%B3%E3%81%AA%E6%B2%88%E9%BB%99"">不気味な沈黙</a>.</span><br></div><div><div><a href=""https://ejje.weblio.jp/content/The+sky"">The sky</a>&nbsp;<a href=""https://ejje.weblio.jp/content/looks"">looks</a>&nbsp;<b>ominous</b><a href=""https://ejje.weblio.jp/content/.+I"">. I</a>&nbsp;<a href=""https://ejje.weblio.jp/content/wonder+if"">wonder if</a>&nbsp;<a href=""https://ejje.weblio.jp/content/it"">it</a>&nbsp;will&nbsp;<a href=""https://ejje.weblio.jp/content/rain"">rain</a>? 空が怪しい。雨が降るかな。</div></div>"
oscillate	"（前後・周期的に・振り子のように）揺れる、（二点間を）行ったり来たりする、振動する、振動させる<div>Glaciers are not entirely stable; they oscillate between advance and retreat<br><div><div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">His&nbsp;<a href=""https://ejje.weblio.jp/content/mood"">mood</a>&nbsp;<a href=""https://ejje.weblio.jp/content/oscillates"">oscillates</a>&nbsp;<a href=""https://ejje.weblio.jp/content/between"">between</a>&nbsp;<a href=""https://ejje.weblio.jp/content/euphoria"">euphoria</a>&nbsp;and depression.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AE"">彼の</a><a href=""https://ejje.weblio.jp/content/%E6%B0%97%E5%88%86"">気分</a>は<a href=""https://ejje.weblio.jp/content/%E5%B9%B8%E7%A6%8F%E6%84%9F"">幸福感</a>と<a href=""https://ejje.weblio.jp/content/%E3%81%B5%E3%81%95%E3%81%8E%E8%BE%BC%E3%81%BF"">ふさぎ込み</a>の<a href=""https://ejje.weblio.jp/content/%E4%B8%A1%E6%A5%B5%E7%AB%AF"">両極端</a>を<a href=""https://ejje.weblio.jp/content/%E5%BE%80%E5%BE%A9%E3%81%99%E3%82%8B"">往復する</a>&nbsp;《<a href=""https://ejje.weblio.jp/content/%E3%81%86%E3%81%8D%E3%81%86%E3%81%8D%E3%81%99%E3%82%8B"">うきうきする</a><a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%81%A8%E6%80%9D%E3%81%86%E3%81%A8"">かと思うと</a>ま<a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%81%B5%E3%81%95"">たふさ</a>ぎ<a href=""https://ejje.weblio.jp/content/%E8%BE%BC%E3%82%80"">込む</a>》</span><br></div></div></div></div>"
retreat	"退却、避難所、退却する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">after&nbsp;<a href=""https://ejje.weblio.jp/content/many"">many</a>&nbsp;<a href=""https://ejje.weblio.jp/content/advances"">advances</a>&nbsp;and&nbsp;<a href=""https://ejje.weblio.jp/content/retreats"">retreats</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%80%B2%E6%92%83"">進撃</a>と<a href=""https://ejje.weblio.jp/content/%E5%BE%8C%E9%80%80"">後退</a>を<a href=""https://ejje.weblio.jp/content/%E4%BD%95%E5%BA%A6%E3%82%82"">何度も</a><a href=""https://ejje.weblio.jp/content/%E7%B9%B0%E3%82%8A%E8%BF%94%E3%81%97"">繰り返し</a>た<a href=""https://ejje.weblio.jp/content/%E5%BE%8C%E3%81%A7"">後で</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/be+in"">be in</a>&nbsp;<a href=""https://ejje.weblio.jp/content/full"">full</a>&nbsp;retreat</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%B7%8F%E9%80%80%E5%8D%B4"">総退却</a>[<a href=""https://ejje.weblio.jp/content/%E6%95%97%E5%8C%97"">敗北</a>]する.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+enemy"">The enemy</a>&nbsp;<a href=""https://ejje.weblio.jp/content/retreated"">retreated</a>&nbsp;from&nbsp;<a href=""https://ejje.weblio.jp/content/the+field"">the field</a>&nbsp;<a href=""https://ejje.weblio.jp/content/to+the"">to the</a>&nbsp;hill.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%95%B5"">敵</a>は<a href=""https://ejje.weblio.jp/content/%E6%88%A6%E5%A0%B4"">戦場</a>から<a href=""https://ejje.weblio.jp/content/%E4%B8%98"">丘</a>へ<a href=""https://ejje.weblio.jp/content/%E9%80%80%E5%8D%B4"">退却</a>した.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
symptom	（病気などの）兆候
deputy	代理（人）、副官<div>Deputy Prime Ministerで副首相</div>
identity	"同一であること、身元、独自性、本性<div>identifyで（相違ないと）見分ける、同一視する、</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/identified"">identified</a>&nbsp;<a href=""https://ejje.weblio.jp/content/himself"">himself</a>&nbsp;<a href=""https://ejje.weblio.jp/content/as+a"">as a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/close+friend"">close friend</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/Jim"">Jim</a>'<a href=""https://ejje.weblio.jp/content/s."">s.</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E3%82%B8%E3%83%A0"">ジム</a>の<a href=""https://ejje.weblio.jp/content/%E8%A6%AA%E5%8F%8B"">親友</a>だと<a href=""https://ejje.weblio.jp/content/%E5%90%8D%E4%B9%97"">名乗</a>った.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/mayor"">mayor</a>&nbsp;<a href=""https://ejje.weblio.jp/content/identified"">identified</a>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/interests"">interests</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/citizens"">citizens</a>&nbsp;with&nbsp;<a href=""https://ejje.weblio.jp/content/his+own"">his own</a>&nbsp;prosperity.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%B8%82%E9%95%B7"">市長</a>は<a href=""https://ejje.weblio.jp/content/%E5%B8%82%E6%B0%91%E3%81%AE"">市民の</a><a href=""https://ejje.weblio.jp/content/%E5%88%A9%E7%9B%8A"">利益</a>を<a href=""https://ejje.weblio.jp/content/%E8%87%AA%E8%BA%AB%E3%81%AE"">自身の</a><a href=""https://ejje.weblio.jp/content/%E7%B9%81%E6%A0%84"">繁栄</a>と<a href=""https://ejje.weblio.jp/content/%E5%90%8C%E4%B8%80"">同一</a>に<a href=""https://ejje.weblio.jp/content/%E8%80%83%E3%81%88%E3%81%9F"">考えた</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/We"">We</a>&nbsp;have&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;identity&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;interests.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%9F%E3%81%A1%E3%81%AF"">私たちは</a><a href=""https://ejje.weblio.jp/content/%E5%88%A9%E5%AE%B3"">利害</a>が<a href=""https://ejje.weblio.jp/content/%E4%B8%80%E8%87%B4%E3%81%97%E3%81%A6%E3%81%84%E3%82%8B"">一致している</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/establish"">establish</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/prove"">prove</a>] a&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;identity</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%BA%E3%81%AE%E8%BA%AB%E5%85%83%E3%82%92%E6%98%8E%E3%82%89%E3%81%8B%E3%81%AB%E3%81%99%E3%82%8B"">人の身元を明らかにする</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/lose"">lose</a>&nbsp;<a href=""https://ejje.weblio.jp/content/one%27s"">one's</a>&nbsp;identity</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%9C%AC%E6%80%A7"">本性</a>を<a href=""https://ejje.weblio.jp/content/%E5%A4%B1%E3%81%8F%E3%81%99"">失くす</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div>"
